Artist Name,Artist URI,Song Name,Song URI,Popularity Score,Playlist Add Date,Tuple Label Artist Name URI,Label Album,Record Label,Tuple Followers Artist Name URI,Artist Followers,Album Name,Album URI,Playlist Name,Playlist URI,Playlist Length,Playlist Followers,Playlist Song Index,Last Refresh,Artist Daily Tracks,Label Daily Tracks,Song Daily Tracks
David Dunn,57ZPJfidpxGJGkyjcmz68v,Anxiety,4MVzuidj7FGfOBRcU6Bu0Q,32,2021-06-12T03:57:32Z,"('David Dunn', '57ZPJfidpxGJGkyjcmz68v')",Anxiety,BEC Recordings,"('David Dunn', '57ZPJfidpxGJGkyjcmz68v')",36063,Anxiety,2t30XwM1Lb02wDL3KkGJ6I,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,55,6/29/2021,4,49,1
Local Sound,2cXyPSMdJcGw3t9yNhwTN2,Nobody,6v1Hgn7yTvz7vQkJiRBESz,45,2021-06-12T03:57:32Z,"('Local Sound', '2cXyPSMdJcGw3t9yNhwTN2')",Nobody,Running Club Records,"('Local Sound', '2cXyPSMdJcGw3t9yNhwTN2')",30094,Nobody,0WYEPMMXkI0XVuKs3c9iZX,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,56,6/29/2021,11,25,2
Passion,6piIAIurGAryW5h1rqQC16,Glorious Day - Remix,3LEiqJm0Q2iwUNZ8t5PDqe,38,2021-06-12T03:57:32Z,"('Passion', '6piIAIurGAryW5h1rqQC16')",Glorious Day (Remix),SixSteps (SIX),"('Passion', '6piIAIurGAryW5h1rqQC16')",320504,Glorious Day (Remix),3bmUsMqgu3e582aGytKsGa,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,57,6/29/2021,33,69,1
Chris Howland,2wqF6dCN8bQp7TN0eNDSsc,Clear View (Remix),1OdEnDiOeNLQIqM8uKV5tu,39,2021-06-12T03:57:32Z,"('Chris Howland', '2wqF6dCN8bQp7TN0eNDSsc')",Clear View (Remix),Chris Howland,"('Chris Howland', '2wqF6dCN8bQp7TN0eNDSsc')",20738,Clear View (Remix),02tpfSEXtcYoAXk6JOA2H6,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,58,6/29/2021,3,3,1
Influence Music,7ory6rfLtmQet7a16o4vvC,Electric,7AQxzmkhwBJwgSYr0qQTVf,35,2021-06-12T03:57:32Z,"('Influence Music', '7ory6rfLtmQet7a16o4vvC')",Touching Heaven - Electric EP,Influence Music,"('Influence Music', '7ory6rfLtmQet7a16o4vvC')",29101,Touching Heaven - Electric EP,7aeZhYzqlaq5f68cLvfsXc,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,59,6/29/2021,22,22,1
Jeremy James Whitaker,41FAFO0sEodQajiyqTtNX3,Air,3KC9SU1P7i6hkYzqHIVJ4I,29,2021-06-12T03:57:32Z,"('Jeremy James Whitaker', '41FAFO0sEodQajiyqTtNX3')",Air,Jeremy James Whitaker,"('Jeremy James Whitaker', '41FAFO0sEodQajiyqTtNX3')",4268,Air,7CIqAhw7c0iQaiBRdgLrBN,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,60,6/29/2021,1,1,1
The Belonging Co,1XnyRY1hSHsZxiIEX8Nzl5,Eyes On You - Live,3iMPm6w3SL8ukWAmZJuPOo,53,2021-06-12T03:57:32Z,"('The Belonging Co', '1XnyRY1hSHsZxiIEX8Nzl5')",Eyes On You (Live),TBCO Music,"('The Belonging Co', '1XnyRY1hSHsZxiIEX8Nzl5')",53584,Eyes On You (Live),1NlQ457ktuiW1t1Zp4c1R5,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,61,6/29/2021,38,38,5
Elizabeth Grace,2t0oDEgacnqOQRFJqiTH8s,Gravity,36J64RkkFvdrJNKfiwY0iB,36,2021-06-12T03:57:32Z,"('Elizabeth Grace', '2t0oDEgacnqOQRFJqiTH8s')",Gravity,Ray Ervin Music,"('Elizabeth Grace', '2t0oDEgacnqOQRFJqiTH8s')",4153,Gravity,0OOBKQWUax70V9bF7gvdDc,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,62,6/29/2021,3,1,2
May Angeles,3QnnsnDjUGYX8cYQuub0eh,Never Wanna Go Back,6CUop28tecrP4AEsnKNpZ3,34,2021-06-12T03:57:32Z,"('May Angeles', '3QnnsnDjUGYX8cYQuub0eh')",Never Wanna Go Back,People & Songs,"('May Angeles', '3QnnsnDjUGYX8cYQuub0eh')",869,Never Wanna Go Back,5ZuLfsc8PRhiJj84sC2idX,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,63,6/29/2021,1,2,1
Urban Rescue,4IrPx5Pieem55X7D0OTAiW,The Reason (Sean Cook Remix),0bs6tC9MHag57CQU3A0Im1,33,2021-06-12T03:57:32Z,"('Urban Rescue', '4IrPx5Pieem55X7D0OTAiW')",The Reason (Sean Cook Remix),Urban Rescue,"('Urban Rescue', '4IrPx5Pieem55X7D0OTAiW')",37763,The Reason (Sean Cook Remix),1mSYwpWEPVGq0apNJlpeb3,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,64,6/29/2021,2,1,1
SoulBox,27gv2YK8R06j3h6NMAJFvD,Boundaries,6zLNRDotJGdEPuF1U0A6RP,23,2021-06-12T03:57:32Z,"('SoulBox', '27gv2YK8R06j3h6NMAJFvD')",Boundaries,The Message Trust,"('SoulBox', '27gv2YK8R06j3h6NMAJFvD')",2370,Boundaries,30i1uRGryZeao36QjA1uuC,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,65,6/29/2021,1,1,1
The Color,5Zrsjw80yCENGwI7YJaT4d,Call Of The Wild - Neon Feather Remix,7G52lyjc0oVHHUn2AudnMZ,21,2021-06-12T03:57:32Z,"('The Color', '5Zrsjw80yCENGwI7YJaT4d')",Call Of The Wild,DREAM Records,"('The Color', '5Zrsjw80yCENGwI7YJaT4d')",6023,Call Of The Wild,7911Oc9rua6FbPHBfjG4BS,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,66,6/29/2021,3,15,1
Rachael Nemiroff,4w2fF5b9OiQBhh6Z34rL8t,Circles,1c8q7CBtCpGs30KOpWFrDA,28,2021-06-12T03:57:32Z,"('Rachael Nemiroff', '4w2fF5b9OiQBhh6Z34rL8t')",Circles,Rachael Nemiroff,"('Rachael Nemiroff', '4w2fF5b9OiQBhh6Z34rL8t')",5516,Circles,1txV9V5eiqjfWu5OEk68y0,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,67,6/29/2021,2,2,1
The Young Escape,39ZuGmOP3orNn5Pf8S13VW,Good Life,7EixVppWsnZOvJJ4ZqET14,46,2021-06-12T03:57:32Z,"('The Young Escape', '39ZuGmOP3orNn5Pf8S13VW')",Good Life,Sparrow (SPR),"('The Young Escape', '39ZuGmOP3orNn5Pf8S13VW')",27401,Good Life,6gIzH5Pa4X3QKugzZCqpTH,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,68,6/29/2021,4,187,1
Holly Starr,69vBlxIY9x67fklDVSdpr7,Human (Matthew Parker Remix),5Vrm9AmA4OabpgwcHdLvFc,29,2021-06-12T03:57:32Z,"('Holly Starr', '69vBlxIY9x67fklDVSdpr7')",Human (Deluxe Edition),Artist Garden Entertainment,"('Holly Starr', '69vBlxIY9x67fklDVSdpr7')",12155,Human (Deluxe Edition),6GVLKFf3wY3iqtSvIRkznK,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,69,6/29/2021,1,3,1
Marshall Marshall,3f5eDe7KfH3eTCc94eJCad,All Things Beautiful (Man Cub Remix),4cEbWtZYMbjJbI3kj5d1WS,31,2021-06-12T03:57:32Z,"('Marshall Marshall', '3f5eDe7KfH3eTCc94eJCad')",Reframed (Remixes),Marshall Marshall,"('Marshall Marshall', '3f5eDe7KfH3eTCc94eJCad')",13896,Reframed (Remixes),61Q6UyJ8spda6yr9emtNIG,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,70,6/29/2021,2,2,1
Chris Howland,2wqF6dCN8bQp7TN0eNDSsc,Your Love (HGHTS Remix),7tOL3KPed2xaNyDIYBo45p,36,2021-06-12T03:57:32Z,"('Chris Howland', '2wqF6dCN8bQp7TN0eNDSsc')",Your Love (HGHTS Remix),Chris Howland,"('Chris Howland', '2wqF6dCN8bQp7TN0eNDSsc')",20738,Your Love (HGHTS Remix),7AZH851x8UXOTAeOLfhnEf,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,71,6/29/2021,3,3,1
GAWVI,0oPd8f0W82Tgrazx2PYNab,So Alive,4t3XwK9hpZNRVwUuy3Q2Lw,39,2021-06-12T03:57:32Z,"('GAWVI', '0oPd8f0W82Tgrazx2PYNab')",HEATHEN,Reach Records,"('GAWVI', '0oPd8f0W82Tgrazx2PYNab')",152023,HEATHEN,5yL0xTL7SRjBeK8Yko0wJG,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,72,6/29/2021,8,44,2
Jabin Chavez,6Egz3qgidYXFIwOF75oyyi,So Good,7FifQY094jXA1y2Z34caaC,33,2021-06-12T03:57:32Z,"('Jabin Chavez', '6Egz3qgidYXFIwOF75oyyi')",So Good,Jabin Chavez,"('Jabin Chavez', '6Egz3qgidYXFIwOF75oyyi')",2027,So Good,5Nl9RSpoK14O2v6E7uxPH9,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,73,6/29/2021,1,1,2
Elevation Youth,2lmkAeBbKuATAqV9Zq81j4,Unshakable Love,1HXkhm3VgTwqtHUDzKT3GY,32,2021-06-12T03:57:32Z,"('Elevation Youth', '2lmkAeBbKuATAqV9Zq81j4')",Unshakable Love,Elevation Youth,"('Elevation Youth', '2lmkAeBbKuATAqV9Zq81j4')",23512,Unshakable Love,5DCIWSIAV8ZSe52kYLlnSV,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,74,6/29/2021,1,1,1
Tauren Wells,3SKza3YPBri1k43LB1Tqy4,Miracle (Live),0lEqGUzVc5hPbtItKYaVrb,28,2021-06-12T03:57:32Z,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",Miracle (Live),Essential Records,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",367519,Miracle (Live),2izlyPOiJ4yZix00jeM9KQ,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,75,6/29/2021,28,93,1
